,index,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
151,4064,SJ931,3015.0,QUEENSWAY STN LOWER LEVEL OFF ONLY,,45.359303000000004,-75.771975,,,0
152,4065,SJ940,3015.0,QUEENSWAY 3A,,45.359388,-75.772498,,,0
153,4066,SJ950,3015.0,QUEENSWAY 4A,,45.358771999999995,-75.771982,,,0
154,4067,SJ960,3016.0,IRIS 1A,,45.355491,-75.769676,,,0
155,4068,SJ970,3016.0,IRIS 2A,,45.356184999999996,-75.769871,,,0
156,4069,SJ971,3016.0,IRIS STATION OFF STOP,,45.356103999999995,-75.769834,,,0
157,4290,SL900,3043.0,FALLOWFIELD 2A,,45.299715,-75.734983,,,0
158,4291,SL910,3043.0,FALLOWFIELD 1A,,45.299762,-75.735263,,,0
159,4292,SL920,3046.0,LONGFIELDS 1A,,45.285218,-75.747123,,,0
160,4293,SL930,3046.0,LONGFIELDS 2A,,45.285422,-75.746674,,,0
161,4294,SL940,3044.0,STRANDHERD 2A,,45.273656,-75.745667,,,0
162,4295,SL950,3044.0,STRANDHERD 1A,,45.273632,-75.745749,,,0
163,4296,SL960,3049.0,BEATRICE 1A,,45.271844,-75.724962,,,0
164,4297,SL970,3049.0,BEATRICE 2A,,45.271504,-75.726825,,,0
165,4298,SL980,3048.0,NEPEAN WOODS 2A,,45.274449,-75.717169,,,0
166,4299,SL990,3048.0,NEPEAN WOODS 1A,,45.274415999999995,-75.71715,,,0
167,4500,WA900,3047.0,MARKETPLACE 1A,,45.269605,-75.742869,,,0
168,4501,WA910,3047.0,MARKETPLACE 2A,,45.269624,-75.742797,,,0
169,4502,WA940,3045.0,BARRHAVEN CENTRE 1A,,45.266870000000004,-75.741613,,,0
170,4503,WA950,3045.0,BARRHAVEN CENTRE 2A,,45.26693,-75.741483,,,0
171,4593,WC900,3019.0,PINECREST 1A,,45.350487,-75.7917,,,0
172,4594,WC910,3019.0,PINECREST 2A,,45.350390000000004,-75.79160300000001,,,0
173,4647,WD900,3050.0,BAYSHORE 1A,,45.345512,-75.809559,,,0
174,4648,WD910,3050.0,BAYSHORE 2A,,45.345496000000004,-75.809555,,,0
175,4649,WD940,3050.0,BAYSHORE 3A,,45.345935,-75.809717,,,0
176,4650,WD950,3050.0,BAYSHORE 4A,,45.345674,-75.80995899999999,,,0
177,4651,WD960,3050.0,BAYSHORE 4B,,45.345723,-75.809412,,,0
178,4809,WG900,3042.0,MOODIE B,,45.341032,-75.836466,,,0
179,4810,WG905,3042.0,MOODIE A,,45.340855,-75.836962,,,0
180,4811,WG910,3042.0,MOODIE D,,45.341236,-75.83691999999999,,,0
181,4812,WG915,3042.0,MOODIE C,,45.341133,-75.836978,,,0
182,4813,WG920,3042.0,MOODIE E,,45.341464,-75.836838,,,0
183,4984,WH920,3058.0,TERRY FOX 3B,,45.309514,-75.90655500000001,,,0
184,4985,WH930,3058.0,TERRY FOX 3C,,45.309284999999996,-75.906975,,,0
185,4986,WH940,3058.0,TERRY FOX 4A,,45.309543,-75.90683,,,0
186,4987,WH950,3058.0,TERRY FOX 4B,,45.30992,-75.906165,,,0
187,4988,WH970,3018.0,TERON 1A,,45.322590999999996,-75.889346,,,0
188,4989,WH980,3018.0,TERON 2A,,45.322483,-75.889268,,,0
189,5095,WI900,3055.0,EAGLESON 2A,,45.318675,-75.883668,,,0
190,5096,WI920,3055.0,EAGLESON 2B,,45.31978,-75.88333100000001,,,0
191,5097,WI930,3055.0,EAGLESON 3A,,45.317824,-75.88448100000001,,,0
192,5098,WI940,3055.0,EAGLESON 4A,,45.317877,-75.884302,,,0
193,5262,WL020,3059.0,CANADIAN TIRE CENTRE,,45.298721,-75.926323,,,0
194,5399,WM900,3057.0,INNOVATION B,,45.342845000000004,-75.931803,,,0
195,5400,WM905,3057.0,INNOVATION A,,45.343064,-75.932125,,,0
